AssetID,Brand,ModelNumber,SerialNumber,Description,IsMissing,IsOOC,MaintenanceLogs,DepartmentCode,DefaultLocation,CurrentLocation
5XTW#03,L-Acoustics,5XTW,260049584,"5"" passive coaxial enclosure, white",False,False,"2025/05/28	bnjm2000	Sent to Concept Systems as rubber gasket was coming out [Location: Concept Systems, Marked OOC]|2025/07/09	bnjm2000	Collected back from Concept Systems, inspected ok [Location: Store, Cleared OOC, Cleared Missing]",AX,Store,Store
5XTW#04,L-Acoustics,5XTW,260049585,"5"" passive coaxial enclosure, white",False,False,,AX,Store,Store
5XTW#05,L-Acoustics,5XTW,260049587,"5"" passive coaxial enclosure, white",False,False,"2025/05/28	bnjm2000	Sent to Concept Systems as rubber gasket was coming out [Location: Concept Systems, Marked OOC]|2025/07/09	bnjm2000	Collected back from Concept Systems, inspected ok [Location: Store, Cleared OOC, Cleared Missing]",AX,Store,Store
5XTW#06,L-Acoustics,5XTW,260049588,"5"" passive coaxial enclosure, white",False,False,,AX,Store,Store
5XTW#07,L-Acoustics,5XTW,260049589,"5"" passive coaxial enclosure, white",False,False,"2025/05/28	bnjm2000	Sent to Concept Systems as rubber gasket was coming out [Location: Concept Systems, Marked OOC]|2025/07/09	bnjm2000	Collected back from Concept Systems, inspected ok [Location: Store, Cleared OOC, Cleared Missing]",AX,Store,Store
5XTW#08,L-Acoustics,5XTW,260049590,"5"" passive coaxial enclosure, white",False,False,,AX,Store,Store
5XTW#09,L-Acoustics,5XTW,260049591,"5"" passive coaxial enclosure, white",False,False,,AX,Store,Store
5XTW#10,L-Acoustics,5XTW,260049592,"5"" passive coaxial enclosure, white",False,False,,AX,Store,Store
5XTW#11,L-Acoustics,5XTW,260049593,"5"" passive coaxial enclosure, white",False,False,"2025/05/28	bnjm2000	Sent to Concept Systems as rubber gasket was coming out [Location: Concept Systems, Marked OOC]|2025/07/09	bnjm2000	Collected back from Concept Systems, inspected ok [Location: Store, Cleared OOC, Cleared Missing]",AX,Store,Store
5XTW#12,L-Acoustics,5XTW,260049594,"5"" passive coaxial enclosure, white",False,False,,AX,Store,Store
5XTW#13,L-Acoustics,5XTW,260049595,"5"" passive coaxial enclosure, white",False,False,,AX,Store,Store
5XTW#14,L-Acoustics,5XTW,260049599,"5"" passive coaxial enclosure, white",False,False,"2025/05/28	bnjm2000	Sent to Concept Systems as rubber gasket was coming out [Location: Concept Systems, Marked OOC]|2025/07/09	bnjm2000	Collected back from Concept Systems, inspected ok [Location: Store, Cleared OOC, Cleared Missing]",AX,Store,Store
5XTW#15,L-Acoustics,5XTW,260049602,"5"" passive coaxial enclosure, white",False,False,"2025/05/28	bnjm2000	Sent to Concept Systems as rubber gasket was coming out [Location: Concept Systems, Marked OOC]|2025/07/09	bnjm2000	Collected back from Concept Systems, inspected ok [Location: Store, Cleared OOC, Cleared Missing]",AX,Store,Store
5XTW#16,L-Acoustics,5XTW,260049603,"5"" passive coaxial enclosure, white",False,False,,AX,Store,Store
5XTW#17,L-Acoustics,5XTW,,"5"" passive coaxial enclosure, white",False,False,,AX,Store,Store
5XTW#18,L-Acoustics,5XTW,,"5"" passive coaxial enclosure, white",False,False,,AX,Store,Store
5XTW#19,L-Acoustics,5XTW,,"5"" passive coaxial enclosure, white",False,False,,AX,Store,Store
5XTW#20,L-Acoustics,5XTW,,"5"" passive coaxial enclosure, white",False,False,,AX,Store,Store
ETR5W#01,L-Acoustics,ETR5W,440035175,Adjustable U-bracket: 5XTW,False,False,,AX,Store,Store
ETR5W#02,L-Acoustics,ETR5W,440035179,Adjustable U-bracket: 5XTW,False,False,,AX,Store,Store
ETR5W#03,L-Acoustics,ETR5W,440035182,Adjustable U-bracket: 5XTW,False,False,,AX,Store,Store
ETR5W#04,L-Acoustics,ETR5W,440035187,Adjustable U-bracket: 5XTW,False,False,,AX,Store,Store
ETR5W#05,L-Acoustics,ETR5W,440035189,Adjustable U-bracket: 5XTW,False,False,,AX,Store,Store
