AssetID,Brand,ModelNumber,SerialNumber,Description,DateOfPurchase,DateAdded,DateModified,ChangeHistory,IsMissing,IsOOC,IsDegraded,IsDisposed,IsBulk,Quantity,MaintenanceLogs,DepartmentCode,DefaultLocation,CurrentLocation
LINUS10#39,Coda,Linus 10,7101468,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#40,Coda,Linus 10,7101443,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#41,Coda,Linus 10,7101442,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#42,Coda,Linus 10,7101189,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#43,Coda,Linus 10,7101247,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#44,Coda,Linus 10,7101431,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#45,Coda,Linus 10,7101432,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#46,Coda,Linus 10,7101429,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#47,Coda,Linus 10,7101411,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#48,Coda,Linus 10,7101430,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#49,Coda,Linus 10,7101438,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#50,Coda,Linus 10,7101218,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#51,Coda,Linus 10,7101461,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#52,Coda,Linus 10,7101201,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
LINUS10#53,Coda,Linus 10,7101467,Amplifier,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
